PICkitminus and PK2CMD minus supported devices.
Device file based on last publicly available PICKitPlus
device file 2.63.218.15 from https://github.com/Anobium/PICKitPlus
Some devices added and fixed by jaka.
Device file and software updates available from
http://kair.us/projects/pickit2minus/index.html


Device File Version:   2.63.229
Number of devices = 1203

PIC16LF1567                  Midrange/1.8v MinII
PIC16LF1574                  Midrange/1.8v MinII
PIC16LF1575                  Midrange/1.8v MinII
PIC16LF1578                  Midrange/1.8v MinII
PIC16LF1579                  Midrange/1.8v MinII
PIC16LF1613                  Midrange/1.8v MinII
PIC16LF1614                  Midrange/1.8v MinII
PIC16LF1615                  Midrange/1.8v MinII
PIC16LF1618                  Midrange/1.8v MinII
PIC16LF1619                  Midrange/1.8v MinII
PIC16LF1703                  Midrange/1.8v MinII
PIC16LF1704                  Midrange/1.8v MinII
PIC16LF1705                  Midrange/1.8v MinII
PIC16LF1707                  Midrange/1.8v MinII
PIC16LF1708                  Midrange/1.8v MinII
PIC16LF1709                  Midrange/1.8v MinII
PIC16LF1713                  Midrange/1.8v MinII
PIC16LF1716                  Midrange/1.8v MinII
PIC16LF1717                  Midrange/1.8v MinII
PIC16LF1718                  Midrange/1.8v MinII
PIC16LF1719                  Midrange/1.8v MinII
PIC16LF1764                  Midrange/1.8v MinII
PIC16LF1765                  Midrange/1.8v MinII
PIC16LF1768                  Midrange/1.8v MinII
PIC16LF1769                  Midrange/1.8v MinII
PIC16LF1773                  Midrange/1.8v MinII
PIC16LF1776                  Midrange/1.8v MinII
PIC16LF1777                  Midrange/1.8v MinII
PIC16LF1778                  Midrange/1.8v MinII
PIC16LF1779                  Midrange/1.8v MinII
PIC16LF1788                  Midrange/1.8v MinII
PIC16LF1789                  Midrange/1.8v MinII
PIC16LF18313                 Midrange/1.8v MinII
PIC16LF18323                 Midrange/1.8v MinII
PIC16LF18324                 Midrange/1.8v MinII
PIC16LF18325                 Midrange/1.8v MinII
PIC16LF18326                 Midrange/1.8v MinII
PIC16LF18344                 Midrange/1.8v MinII
PIC16LF18345                 Midrange/1.8v MinII
PIC16LF18346                 Midrange/1.8v MinII
PIC16F15213                  Midrange/1.8V Min MSB1st
PIC16F15214                  Midrange/1.8V Min MSB1st
